alias,wiki_id
Laurén i Eskilstuna,Q5940304
Källman i Sundbyberg,Q5928394
Lundbom i Stordalen,Q5966166
Leffler i Stockholm,Q5943976
Leffler i Stockholm,Q5944003
Lundström i Långnäs,Q5967897
Martin i Oskar-Fredriksborg,Q5977935
Larsson i Lund,Q5937709
Lyckholm i Wilhemsdal,Q5968645
Norsell i Karlstad,Q6017706
Olsson i Labbemåla,Q6028022
Paulson i Ekeberga,Q6037950
Pålsson i Anderslöv,Q6058750
Rimås i Åsandby,Q6072728
Andersson i Råstock,Q6086540
Andersson i Björktorp,Q6086540
Odelberg i Gustavsberg,Q6022275
Räf i Attarp,Q6086241
Persson i Arboga,Q6043007
Persson i Mörarp,Q6042602
Jonsson i Eskilstuna,Q6140360
Jonsson i Mörkhult,Q6140353
Sjögren i Motala,Q6178458
Sköld i Toarp,Q6180672
