role,government,wiki_id,start,end,name,gender,born,dead,party,alias,id
infrastrukturminister,Regeringen Löfven II,Q5711551,2017-07-27,,Tomas Eneroth,man,1966-12-04,,Socialdemokraterna,,tomas_eneroth_infrastrukturminister_w
arbetsmarknadsminister,Regeringen Löfven I,Q3369258,2014-10-03,2019-09-10,Ylva Johansson,kvinna,1964-02-13,,,,ylva_johansson_arbetsmarknadsminister_w
integrationsminister,Regeringen Löfven I,Q3369258,2016-05-25,2019-01-21,Ylva Johansson,kvinna,1964-02-13,,,,ylva_johansson_integrationsminister_w
kulturminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30,Amanda Lind,kvinna,1980-08-02,,Miljöpartiet,,amanda_lind_kulturminister_w
infrastrukturminister,Regeringen Andersson,Q5711551,2017-07-27,,Tomas Eneroth,man,1966-12-04,,Socialdemokraterna,,tomas_eneroth_infrastrukturminister_w
demokratiminister,Regeringen Löfven III,Q24018140,2019-01-21,2021-11-30,Amanda Lind,kvinna,1980-08-02,,Miljöpartiet,,amanda_lind_demokratiminister_w
bostadsminister,Regeringen Löfven III,Q64524335,2021-02-05,2021-11-30,Märta Stenevi,kvinna,1976-03-30,,Miljöpartiet,,marta_stenevi_bostadsminister_w
socialförsäkringsminister,Regeringen Löfven II,Q4787806,2019-10-01,,Ardalan Shekarabi,man,1978-11-28,,Socialdemokraterna,,ardalan_shekarabi_socialforsakringsminister_w
ungdomsminister,Regeringen Löfven I,Q18176335,2014-10-03,2016-08-15,Aida Hadzialic,kvinna,1987-01-21,,Socialdemokraterna,,aida_hadzialic_ungdomsminister_w
socialförsäkringsminister,Regeringen Andersson,Q4787806,2019-10-01,,Ardalan Shekarabi,man,1978-11-28,,Socialdemokraterna,,ardalan_shekarabi_socialforsakringsminister_w
ungdomsminister,Regeringen Löfven I,Q4953463,2016-08-15,2016-09-13,Helene Hellmark Knutsson,kvinna,1969-09-12,,Socialdemokraterna,,helene_hellmark_knutsson_ungdomsminister_w
sjukvårdsminister,Regeringen Löfven I,Q6241556,2014-10-03,2017-07-27,Gabriel Wikström,man,1985-02-21,,Socialdemokraterna,,gabriel_wikstrom_sjukvardsminister_w
demokratiminister,Regeringen Löfven II,Q24018140,2019-01-21,2021-11-30,Amanda Lind,kvinna,1980-08-02,,Miljöpartiet,,amanda_lind_demokratiminister_w
samfundsminister,Regeringen Löfven I,Q4725739,2014-10-03,2019-01-21,Alice Bah Kuhnke,kvinna,1971-12-21,,Miljöpartiet,,alice_bah_kuhnke_samfundsminister_w
bostadsminister,Regeringen Löfven II,Q64524335,2021-02-05,2021-11-30,Märta Stenevi,kvinna,1976-03-30,,Miljöpartiet,,marta_stenevi_bostadsminister_w
utbildningsminister,Regeringen Löfven III,Q4946204,2019-01-21,,Anna Ekström,kvinna,1959-06-23,,Socialdemokraterna,,anna_ekstrom_utbildningsminister_w
bostadsminister,Regeringen Löfven II,Q5581337,2019-01-21,2021-02-05,Per Bolund,man,1971-07-03,,Miljöpartiet,,per_bolund_bostadsminister_w
