Location, Year
Varberg, 1926
Vimmerby, 1926
Väby, 1926
Västbro, 1926
Västerås, 1926
Vätö, 1926
Älvsered, 1926
Östersund, 1926
Bäckmora, 1972
Ljung, 1972
Malmö, 1972
Skegrie, 1972
Stockholm, 1972
Bakeröd, 1941
Bogla, 1941
Bussjö, 1941
Dahl, 1941
Degerfors, 1941
Doverstorp, 1941
Eskilstuna, 1941
Falkenberg, 1941
Falla, 1941
Fjäle, 1941
Frägsta, 1941
Frändesta, 1941
Föredrogs, 1941
Gisselås, 1941
Granebo, 1941
Grängesberg, 1941
Grönvik, 1941
Gäddvik, 1941
Gävle, 1941
Göingegården, 1941
Göteborg, 1941
Hede, 1941
Hedensbyn, 1941
Hällbacken, 1941
Hälsingborg, 1941
Höganäs, 1941
Igelboda, 1941
Kalmar, 1941
Kastanjegården, 1941
Kinna, 1941
Kristinehamn, 1941
Kullenbergstorp, 1941
Landskrona, 1941
Lekåsa, 1941
Ljungskile, 1941
Luleå, 1941
Löbbo, 1941
Malmö, 1941
Mellerud, 1941
Munkedal, 1941
Mölndal, 1941
Mörlanda, 1941
Norrby, 1941
Norregård, 1941
Norrlångträsk, 1941
Näsviken, 1941
Ovanmyra, 1941
Prästbol, 1941
Rosta, 1941
Rubbestad, 1941
Rubestad, 1941
Sandby, 1941
Skediga, 1941
Skedsbygd, 1941
Skutskär, 1941
Skövde, 1941
Spånstad, 1941
Stockholm, 1941
Södergård, 1941
Sörsjön, 1941
Tungelsta, 1941
Umeå, 1941
Undersvik, 1941
Uppsala, 1941
Vigelsbo, 1941
Vimmerby, 1941
Vännäsby, 1941
Västerås, 1941
Växjö, 1941
Åtvidaberg, 1941
Östersund, 1941
Borås, 1966
Agnäs, 1975
Alingsås, 1975
Alvesta, 1975
Borlänge, 1975
Borås, 1975
Botkyrka, 1975
Byske, 1975
Edane, 1975
Gävle, 1975
Göteborg, 1975
Järvsö, 1975
Kalmar, 1975
Karlstad, 1975
Kungälv, 1975
Lidingö, 1975
Ljung, 1975
Ljusdal, 1975
Malmö, 1975
Malung, 1975
Nybro, 1975
Nässjö, 1975
Röstånga, 1975
Stockholm, 1975
Tvärålund, 1975
Tyresö, 1975
Växjö, 1975
Örebro, 1975
Öskevik, 1975
Antnäs, 1931
Bjuv, 1931
Bjälbo, 1931
Blädinge, 1931
Bonarp, 1931
Boxholm, 1931
Bramstorp, 1931
Brattfors, 1931
Bro, 1931
Broaryd, 1931
Broberg, 1931
Brånalt, 1931
Bäckland, 1931
Digernäs, 1931
Dunker, 1931
Edsbäcken, 1931
Erlandsro, 1931
Eskilstuna, 1931
Falkenberg, 1931
Falla, 1931
Falun, 1931
Fritorp, 1931
Furuvik, 1931
Fårekulla, 1931
Gans, 1931
Golvvasta, 1931
Grimbo, 1931
Grängesberg, 1931
Grönvik, 1931
Gävle, 1931
Göteborg, 1931
Hallagården, 1931
Halmstad, 1931
Huskvarna, 1931
Hällbacken, 1931
Häste, 1931
Hörby, 1931
Höör, 1931
Igelboda, 1931
Kalmar, 1931
Karlskrona, 1931
Kasenberg, 1931
Katrineholm, 1931
Kristanstad, 1931
Kristianstad, 1931
Kullen, 1931
Kullenbergstorp, 1931
Lerbäcksbyn, 1931
Lindome, 1931
Löbbo, 1931
Malmö, 1931
Mellerud, 1931
Mora, 1931
Munkedal, 1931
Norrköping, 1931
Norup, 1931
Ovanmyra, 1931
Prästbol, 1931
Ramsta, 1931
Rasjön, 1931
Revinge, 1931
Risinge, 1931
Rotebro, 1931
Råstock, 1931
Skövde, 1931
Stenstu, 1931
Stockholm, 1931
Storegården, 1931
Sörsjön, 1931
Tenhult, 1931
Tidaholm, 1931
Trollhättan, 1931
Trången, 1931
Tungelsta, 1931
Tönnersa, 1931
Uppmälby, 1931
Vimmerby, 1931
Västerås, 1931
Örebro, 1931
Österbo, 1931
Östersund, 1931
Kemiälven, 1991
Malmö, 1991
Malmö, 1993
Stockholm, 1993
Antnäs, 1927
Arkösund, 1927
Berg, 1927
Betingetorp, 1927
Bjuv, 1927
Bjälbo, 1927
Blädinge, 1927
Boa, 1927
Bonarp, 1927
Boxholm, 1927
Broaryd, 1927
Broberg, 1927
Brånalt, 1927
Bäckland, 1927
Digernäs, 1927
Edsbyn, 1927
Edsbäcken, 1927
Erlandsro, 1927
Falkenberg, 1927
Falun, 1927
Fritorp, 1927
Furuvik, 1927
Gans, 1927
Golvvasta, 1927
Grimbo, 1927
Grängesberg, 1927
Grönvik, 1927
Gävle, 1927
Göteborg, 1927
Hallagården, 1927
Halmstad, 1927
Huskvarna, 1927
Hällbacken, 1927
Hälsingborg, 1927
Högby, 1927
Hörby, 1927
Igelboda, 1927
Kabbarp, 1927
Kalmar, 1927
Karlskrona, 1927
Kasenberg, 1927
Katrineholm, 1927
Kristianstad, 1927
Kullen, 1927
Kullenbergstorp, 1927
Kullienbergstorp, 1927
Kälkebo, 1927
Köping, 1927
Lerbäcksbyn, 1927
Linköping, 1927
Löbbo, 1927
Malmö, 1927
Mellerud, 1927
Mora, 1927
Mölndal, 1927
Norup, 1927
Nyborg, 1927
Ovanmyra, 1927
Ramsta, 1927
Rasjön, 1927
Revinge, 1927
Rimforsa, 1927
Rostock, 1927
Råstock, 1927
Skövde, 1927
Stenstu, 1927
Stockholm, 1927
Storegården, 1927
Södertälje, 1927
Trollhättan, 1927
Trången, 1927
Tumhult, 1927
Tånga, 1927
Tönnersa, 1927
Uppmälby, 1927
Västbro, 1927
Västerås, 1927
Vätö, 1927
Östersund, 1927
Antnäs, 1925
Berg, 1925
Betingetorp, 1925
Bjuv, 1925
Bjälbo, 1925
Blädinge, 1925
Boa, 1925
Boda, 1925
Boxholm, 1925
Broaryd, 1925
Broberg, 1925
Brånalt, 1925
Bäck, 1925
Bäckland, 1925
Digernäs, 1925
Edsbyn, 1925
Edsbäcken, 1925
Eerbäcksbyn, 1925
Erlandsro, 1925
Falkenberg, 1925
Falla, 1925
Falun, 1925
Fritorp, 1925
Gans, 1925
Golvvasta, 1925
Grimbo, 1925
Grängesberg, 1925
Grönvik, 1925
Gävle, 1925
Gåns, 1925
Göteborg, 1925
Hagaström, 1925
Hallagården, 1925
Halmstad, 1925
Huskvarna, 1925
Hällbacken, 1925
Hälsingborg, 1925
Häste, 1925
Hörby, 1925
Igelboda, 1925
Kalmar, 1925
Karlskoga, 1925
Karlskrona, 1925
Kasenberg, 1925
Katrineholm, 1925
Kuilenbergstorp, 1925
Kullen, 1925
Kullenbergstorp, 1925
