swerik_id;surname;first_name;iort
i-PJHDozmY81d7YtBoCPhC71;von Bahr;Johan;Uppsala
i-RaEHVGXdvgohqby5xsmFVJ;Bark;O Hernfrid;Riddarhyttan
i-3FZHxgo9GniUc1FF973iHh;Barnekow;Adolf G;Sörbytorp
i-WMeuxAewsQyBD46eUtkLFr;Barnekow;C Fredrik K;Åraslöv
i-3FZHxgo9GniUc1FF973iHh;Barnekow;K Ragnar M-D;Sörbytorp
i-GYKyw64qctSyYNpixCFbxx;Barthelson;C Gustaf;Halnatorp
i-YFmh6ABc2GTvHAkuL7pFAP;von Baumgarten;Carl R F;Orraryd
i-WtGqPEB6HFcwThC62uUkYN;Beck;J Wilhelm;Bengtstorp
i-F9qq7Mc97xQJVDuazrU4kA;Beck-Friis;Carl S;Harg
i-MkpKqs9yn98uRBF1pm57dP;Beck-Friis;Corfitz A;Börringekloster
