,name,title,start,end,id,specifier
826,Gabriel Wikström,Folkhälso- sjukvårds- och idrottsminister,2014-10-03,2017-07-27,gabriel_wikström_minister_2014,
827,Åsa Regnér,Barn- äldre- och jämställdhetsminister,2014-10-03,2018-03-08,åsa_regnér_minister_2014,
828,Lena Hallengren,Barn- äldre- och jämställdhetsminister,2018-03-08,2019-01-21,lena_hallengren_minister_2018,
829,Magdalena Andersson,Finansminister,2014-10-03,2019-01-21,magdalena_andersson_minister_2014,
830,Per Bolund,Finansmarknads- och konsumentminister,2014-10-03,2019-01-21,per_bolund_minister_2014,
831,Ardalan Shekarabi,Civilminister,2014-10-03,2019-01-21,ardalan_shekarabi_minister_2014,
832,Gustav Fridolin,Utbildningsminister,2014-10-03,2019-01-21,gustav_fridolin_minister_2014,
833,Aida Hadzialic,Gymnasie- ungdoms- och kunskapslyftsminister,2014-10-03,2016-08-15,aida_hadzialic_minister_2014,
834,Helene Hellmark Knutsson,Gymnasie- ungdoms- och kunskapslyftsminister,2016-08-15,2016-09-13,helene_hellmark_knutsson_minister_2016,
835,Anna Ekström,Gymnasie- ungdoms- och kunskapslyftsminister,2016-09-13,2019-01-21,anna_ekström_minister_2016,
836,Helene Hellmark Knutsson,Minister för högre utbildning och forskning,2014-10-03,2019-01-21,helene_hellmark_knutsson_minister_2014,
837,Åsa Romson,Klimat- och miljöminister samt vice statsminister,2014-10-03,2016-05-25,åsa_romson_minister_2014,
838,Karolina Skog,Miljöminister,2016-05-25,2019-01-21,karolina_skog_minister_2016,
839,Ibrahim Baylan,Energiminister,2014-10-03,2016-05-25,ibrahim_baylan_minister_2014,
840,Mikael Damberg,Närings- och innovationsminister,2014-10-03,2019-01-21,mikael_damberg_minister_2014,
841,Mehmet Kaplan,Bostads- IT- och stadsutvecklingsminister,2014-10-03,2016-04-18,mehmet_kaplan_minister_2014,
842,Per Bolund,Bostads- IT- och stadsutvecklingsminister,2016-04-18,2016-05-25,per_bolund_minister_2016,
843,Peter Eriksson,Bostads- och digitaliseringsminister,2016-05-25,2019-01-21,peter_eriksson_minister_2016,
844,Anna Johansson,Infrastrukturminister,2014-10-03,2017-07-27,anna_johansson_minister_2014,
845,Tomas Eneroth,Infrastrukturminister,2017-07-27,2019-01-21,tomas_eneroth_minister_2017,
846,Sven-Erik Bucht,Landsbygdsminister,2014-10-03,2019-01-21,sven-erik_bucht_minister_2014,
847,Alice Bah Kuhnke,Kultur- samfunds- och demokratiminister,2014-10-03,2019-01-21,alice_bah_kuhnke_minister_2014,
848,Ylva Johansson,Arbetsmarknadsminister,2014-10-03,2016-05-25,ylva_johansson_minister_2014,
849,Ylva Johansson,Arbetsmarknads- och etableringsminister,2016-05-25,2019-01-21,ylva_johansson_minister_2016,
850,Carl Gustaf Ekman,Statsminister,1930-06-07,1932-08-06,carl_gustaf_ekman_minister_1930,
851,Felix Hamrin,Finansminister,1930-06-07,1932-08-06,felix_hamrin_minister_1930,
852,Natanael Gärde,Justitieminister,1930-06-07,1932-08-06,natanael_gärde_minister_1930,
853,Fredrik Ramel,Utrikesminister,1930-06-07,1932-08-06,fredrik_ramel_minister_1930,
854,Carl Gustaf Ekman,Försvarsminister,1930-06-07,1931-06-19,carl_gustaf_ekman_minister_1930,
855,Anton Rundqvist,Försvarsminister,1931-06-19,1932-08-06,anton_rundqvist_minister_1931,
856,Sam Larsson,Socialminister,1930-06-07,1932-08-06,sam_larsson_minister_1930,
857,Ola Jeppsson,Kommunikationsminister,1930-06-07,1932-08-06,ola_jeppsson_minister_1930,
858,Samuel Stadener,Ecklesiastikminister,1930-06-07,1932-08-06,samuel_stadener_minister_1930,
859,Bo von Stockenström,Jordbruksminister,1930-06-07,1932-08-06,bo_von_stockenström_minister_1930,
860,David Hansén,Handelsminister,1930-06-07,1932-08-06,david_hansén_minister_1930,
861,Ragnar Gyllenswärd,Konsultativt statsråd,1930-06-07,1932-08-06,ragnar_gyllenswärd_minister_1930,
862,Åke Holmbäck,Konsultativt statsråd,1930-06-07,1932-08-06,åke_holmbäck_minister_1930,
863,Erik Österberg,Konsultativt statsråd,1930-06-07,1930-12-12,erik_österberg_minister_1930,
864,Anton Rundqvist,Konsultativt statsråd,1930-12-12,1931-06-19,anton_rundqvist_minister_1930,
865,Stefan Löfven,Statsminister,2019-01-21,2021-07-09,stefan_löfven_minister_2019,
866,Hans Dahlgren,EU-minister,2019-01-21,2021-07-09,hans_dahlgren_minister_2019,
867,Morgan Johansson,Justitie- och migrationsminister,2019-01-21,2021-07-09,morgan_johansson_minister_2019,
868,Mikael Damberg,Inrikesminister,2019-01-21,2021-07-09,mikael_damberg_minister_2019,
869,Margot Wallström,Utrikesminister,2019-01-21,2019-09-10,margot_wallström_minister_2019,
870,Ann Linde,Utrikesminister,2019-09-10,2021-07-09,ann_linde_minister_2019,
871,Peter Eriksson,Minister för internationellt utvecklingssamarbete,2019-01-21,2020-12-17,peter_eriksson_minister_2019,
872,Isabella Lövin,Minister för internationellt utvecklingssamarbete,2020-12-17,2021-02-05,isabella_lövin_minister_2020,
873,Per Olsson Fridh,Minister för internationellt utvecklingssamarbete,2021-02-05,2021-07-09,per_olsson_fridh_minister_2021,
874,Ann Linde,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2019-01-21,2019-09-10,ann_linde_minister_2019,
875,Anna Hallberg,Utrikeshandelsminister ochminister med ansvar för nordiska frågor,2019-09-10,2021-07-09,anna_hallberg_minister_2019,
876,Peter Hultqvist,Försvarsminister,2019-01-21,2021-07-09,peter_hultqvist_minister_2019,
877,Lena Hallengren,Socialminister,2019-01-21,2021-07-09,lena_hallengren_minister_2019,
878,Annika Strandhäll,Socialförsäkringsminister,2019-01-21,2019-10-01,annika_strandhäll_minister_2019,
879,Ardalan Shekarabi,Socialförsäkringsminister,2019-10-01,2021-07-09,ardalan_shekarabi_minister_2019,
880,Magdalena Andersson,Finansminister,2019-01-21,2021-07-09,magdalena_andersson_minister_2019,
881,Per Bolund,Finansmarknads- och bostadsministerbiträdande finansminister,2019-01-21,2021-02-05,per_bolund_minister_2019,
882,Åsa Lindhagen,Finansmarknads- och biträdande finansminister,2021-02-05,2021-07-09,åsa_lindhagen_minister_2021,
883,Ardalan Shekarabi,Civilminister,2019-01-21,2019-10-01,ardalan_shekarabi_minister_2019,
884,Lena Micko,Civilminister,2019-10-01,2021-07-09,lena_micko_minister_2019,
885,Anna Ekström,Utbildningsminister,2019-01-21,2021-07-09,anna_ekström_minister_2019,
886,Matilda Ernkrans,Minister för högre utbildning och forskning,2019-01-21,2021-07-09,matilda_ernkrans_minister_2019,
887,Isabella Lövin,Miljö- och klimatminister samt vice statsminister,2019-01-21,2021-02-05,isabella_lövin_minister_2019,
888,Per Bolund,Miljö- och klimatminister samt vice statsminister,2021-02-05,2021-07-09,per_bolund_minister_2021,
889,Ibrahim Baylan,Näringsminister,2019-01-21,2021-07-09,ibrahim_baylan_minister_2019,
890,Jennie Nilsson,Landsbygdsminister,2019-01-21,2021-06-30,jennie_nilsson_minister_2019,
891,Ibrahim Baylan,Landsbygdsminister,2021-06-30,2021-07-09,ibrahim_baylan_minister_2021,
892,Tomas Eneroth,Infrastrukturminister,2019-01-21,2019-03-31,tomas_eneroth_minister_2019,
893,Anders Ygeman,Energi- och digitaliseringsminister,2019-01-21,2019-03-31,anders_ygeman_minister_2019,
894,Amanda Lind,Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,2019-01-21,2021-07-09,amanda_lind_minister_2019,
895,Ylva Johansson,Arbetsmarknadsminister,2019-01-21,2019-09-10,ylva_johansson_minister_2019,
896,Eva Nordmark,Arbetsmarknadsminister,2019-09-10,2021-07-09,eva_nordmark_minister_2019,
897,Åsa Lindhagen,Jämställdhetsminister samtminister med ansvar för arbetet motdiskriminering och segregation,2019-01-21,2021-02-05,åsa_lindhagen_minister_2019,
898,Märta Stenevi,Jämställdhetsminister bostadsminister samtminister med ansvar för arbetet motdiskriminering och segregation,2021-02-05,2021-07-09,märta_stenevi_minister_2021,
899,Tomas Eneroth,Infrastrukturminister,2019-04-01,2021-07-09,tomas_eneroth_minister_2019,
900,Anders Ygeman,Energi- och digitaliseringsminister,2019-04-01,2021-07-09,anders_ygeman_minister_2019,
