name,replacer,party,district,start,end,note,chamber,id,party_abbrev,gender
Jakop Dalunde,Per Olsson,Miljöpartiet,Stockholms kommun,2015-12-18,2016-06-06,,Enkammarriksdagen,jakop_dalunde_638386,MP,man
Erik Ezelius,Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra,2016-01-01,2018-09-24,,Enkammarriksdagen,erik_ezelius_b9ebad,S,man
Heidi Karlsson,Jeff Ahl,Sverigedemokraterna,Hallands län,2016-01-11,2016-07-28,,Enkammarriksdagen,heidi_karlsson_8c88f5,SD,woman
Rolf Åbjörnsson,Jakob Forssmed,Kristdemokraterna,Stockholms län,2016-01-14,2016-03-04,,Enkammarriksdagen,rolf_abjornsson_5ab048,KD,man
Camilla Hansén,Jonas Eriksson,Miljöpartiet,Stockholms kommun,2016-01-18,2016-07-31,,Enkammarriksdagen,camilla_hansen_cf2794,MP,woman
Eva Wallin,Roland Utbult,Kristdemokraterna,Västra Götalands läns västra,2016-03-08,2016-05-22,,Enkammarriksdagen,eva_wallin_740ace,KD,woman
Ida Karkiainen,Sven-Erik Bucht,Socialdemokraterna,Norrbottens län,2016-04-05,2018-09-24,,Enkammarriksdagen,ida_karkiainen_490dde,S,woman
Eva Lindh,Teresa Carvalho,Socialdemokraterna,Östergötlands län,2016-04-18,2017-01-01,,Enkammarriksdagen,eva_lindh_52e918,S,woman
Mathias Tegnér,Ibrahim Baylan,Socialdemokraterna,Stockholms län,2016-05-01,2018-09-24,,Enkammarriksdagen,mathias_tegner_4e6fcd,S,man
Jenny Bengtsson,Ali Esbati,Vänsterpartiet,Stockholms län,2016-05-12,2016-07-27,,Enkammarriksdagen,jenny_bengtsson_fd4abb,V,woman
Pernilla Stålhammar,Per Bolund,Miljöpartiet,Stockholms kommun,2016-06-07,2017-07-14,,Enkammarriksdagen,pernilla_stalhammar_468891,MP,woman
Stefan Nilsson,Per Olsson,Miljöpartiet,Stockholms kommun,2016-06-07,2017-07-14,,Enkammarriksdagen,stefan_nilsson_e9ad64,MP,man
Crister Spets,Julia Kronlid,Sverigedemokraterna,Stockholms län,2016-06-14,2016-07-28,,Enkammarriksdagen,crister_spets_60ee99,SD,man
Jamal El-Haj,Leif Jakobsson,Socialdemokraterna,Malmö kommun,2016-06-15,2018-09-24,,Enkammarriksdagen,jamal_el-haj_fcd74c,S,man
Christer Adelsbo,Anna Wallentheim,Socialdemokraterna,Skåne läns norra och östra,2016-07-01,2017-03-05,,Enkammarriksdagen,christer_adelsbo_a5e72b,S,man
Heidi Karlsson,Julia Kronlid,Sverigedemokraterna,Stockholms län,2016-07-29,2017-03-18,,Enkammarriksdagen,heidi_karlsson_82cb45,SD,woman
Alexandra Anstrell,Ida Drougge,Moderaterna,Stockholms län,2016-08-01,2017-01-31,,Enkammarriksdagen,alexandra_anstrell_1ff9a0,M,woman
Anna Vikström,Mikael Damberg,Socialdemokraterna,Stockholms län,2016-08-10,2017-04-01,,Enkammarriksdagen,anna_vikstrom_c864ce,S,woman
Åsa Eriksson,Olle Thorell,Socialdemokraterna,Västmanlands län,2016-08-15,2017-04-01,,Enkammarriksdagen,asa_eriksson_1c1fba,S,woman
Roland Gustbée,Johan Hultberg,Moderaterna,Kronobergs län,2016-09-12,2017-02-26,,Enkammarriksdagen,roland_gustbee_447716,M,man
Pål Jonson,Pia Hallström,Moderaterna,Värmlands län,2016-09-14,2016-10-11,,Enkammarriksdagen,pal_jonson_0c3b19,M,man
Marie-Louise Rönnmark,Björn Wiechel,Socialdemokraterna,Västerbottens län,2016-10-01,2017-04-01,,Enkammarriksdagen,marie-louise_ronnmark_26ac35,S,woman
Gustav Blix,Amir Adan,Moderaterna,Stockholms kommun,2016-10-03,2016-12-02,,Enkammarriksdagen,gustav_blix_934555,M,man
Stefan Svanström,Caroline Szyber,Kristdemokraterna,Stockholms kommun,2016-10-11,2017-01-01,,Enkammarriksdagen,stefan_svanstrom_044a2e,KD,man
Crister Spets,Paula Bieler,Sverigedemokraterna,Kalmar län,2016-10-19,2016-12-23,,Enkammarriksdagen,crister_spets_3bd0b1,SD,man
Sofia Modigh,Caroline Szyber,Kristdemokraterna,Stockholms kommun,2017-01-02,2017-04-30,,Enkammarriksdagen,sofia_modigh_a94712,KD,woman
Faradj Koliev,Leif Nysmed,Socialdemokraterna,Stockholms län,2017-01-09,2017-06-30,,Enkammarriksdagen,faradj_koliev_de6164,S,man
Rolf Åbjörnsson,Jakob Forssmed,Kristdemokraterna,Stockholms län,2017-01-12,2017-02-12,,Enkammarriksdagen,rolf_abjornsson_bb9492,KD,man
Linus Sköld,Hannah Bergstedt,Socialdemokraterna,Norrbottens län,2017-02-01,2017-08-01,,Enkammarriksdagen,linus_skold_6603d9,S,man
Eva Lindh,Johan Löfstrand,Socialdemokraterna,Östergötlands län,2017-02-27,2017-06-30,,Enkammarriksdagen,eva_lindh_6a3233,S,woman
Sultan Kayhan,Arhe Hamednaca,Socialdemokraterna,Stockholms kommun,2017-03-02,2017-05-28,,Enkammarriksdagen,sultan_kayhan_9d23af,S,woman
Crister Spets,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-03,2017-03-18,,Enkammarriksdagen,crister_spets_954b8a,SD,man
Heidi Karlsson,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-19,2017-03-20,,Enkammarriksdagen,heidi_karlsson_866960,SD,woman
Crister Spets,Anders Forsberg,Sverigedemokraterna,Malmö kommun,2017-03-21,2017-06-01,,Enkammarriksdagen,crister_spets_015ae2,SD,man
Heidi Karlsson,Julia Kronlid,Sverigedemokraterna,Stockholms län,2017-03-21,2017-05-14,,Enkammarriksdagen,heidi_karlsson_a05432,SD,woman
